"","Site","DayT_Mean","DayT_Mean1","DayT_Max","DayT_Max1","Tmax_7daymean","Tmax_7daymean1"
"1","11Interior",14.3142638893939,2.19597704617412,24.9932727272727,4.67177922659509,24.8659177484848,3.18270282170604
"2","14Coast",12.7133573715385,1.37787805135578,14.5399230769231,2.52951933652347,14.2885714280769,1.4778845051952
"3","15Interior",10.7006022730303,1.75276819391948,13.9301212121212,4.6376737147894,13.1427402593333,4.00465977051163
"4","20Coast",14.8155176280769,1.89555606810584,17.6975384615385,3.43094189086052,17.7169010988462,2.01730393715841
"5","20Interior",9.89337626263636,0.912561049692551,12.3413333333333,1.51392799669161,12.5030317466667,0.990729586906596
"6","21Interior",9.94712752518182,1.0031838007624,13.0966666666667,1.89026226134541,12.8466580090303,1.56749967871526
"7","22Interior",12.6172866159697,3.16373337598196,27.999,13.0400201758855,27.740604762,10.9303951955843
"8","23Coast",12.0211875003846,0.835142541047811,12.3238461538462,0.932958035168043,12.1411263742308,0.594466945140569
"9","23Interior",9.50691161609091,1.09183663125649,11.7136060606061,1.6797632076314,11.8532698421852,1.01667396818984
"10","24Coast",12.1317163461538,1.39714179370808,12.6959615384615,1.50700294573751,12.5516098907692,0.986570803759398
"11","25Interior",16.0932537881818,4.50621619465568,30.7561515151515,14.8432173970159,27.7218138521212,14.00068484838
"12","27Coast",11.78049359,1.49370285538331,13.1888076923077,2.09841845243947,13.0534505496154,1.21642460311588
"13","29Interior",8.93265782839394,1.03479601620604,9.74533333333333,1.08645670261942,9.53020346275758,1.05401709224712
"14","6Coast",13.7102724369231,1.38917632197222,16.1312307692308,2.58858505454532,15.9550054942308,1.29421237964254
"15","9Interior",14.6817146463636,2.90882107223402,29.7256666666667,6.66198376361476,29.7346883118182,3.83015585056962
"16","EastCreekCoast",12.1317163461538,1.39714179370808,12.6959615384615,1.50700294573751,12.3763285725,1.05236338774843
"17","GriffithsCoast",13.4871137823077,2.02948036792023,16.6245769230769,4.51802321528411,15.9296832291304,2.13275469703151
"18","GstreamCoast_Water",14.2854663461538,1.38480429219045,15.2013846153846,1.65843936462985,15.218229813913,1.42588898036563
"19","MothertreeCoast",12.1317163461538,1.39714179370808,12.6959615384615,1.50700294573751,12.3763285725,1.05236338774843
"20","R1Interior",10.2048143940909,1.09519410832451,11.9963636363636,2.04186789206265,11.9355467979655,1.72962312344063
"21","R2Interior",9.16334848481818,0.935926444260923,10.5685454545455,1.20726115885579,10.64703571375,0.80876552581356
"22","R3Interior",10.2071616159697,1.59995794460342,12.9530303030303,2.66418247879214,13.2248095244074,1.83045762439492
"23","SpringCoast",11.8817099365385,0.968936034032613,12.3601153846154,1.10600312212663,12.2279120869231,0.738093910531176
