"","Site","DayT_Mean","DayT_Mean1","DayT_Max","DayT_Max1","Tmax_7daymean","Tmax_7daymean1"
"1","B1Coast",13.1973405786957,1.66901557893445,15.6446956521739,3.30801209785056,15.6171987578261,1.84978420209944
"2","B1Interior",9.03939772695455,1.37370088421659,12.6434545454545,3.43633559987647,12.623499999375,1.47432898002769
"3","B2Coast",11.4312500001304,1.00433785631185,12.193,0.698885801570159,11.9120000004348,0.458274725392065
"4","B2Interior",7.17475757572727,1.09863516055665,8.14013636363636,1.13705422643461,8.259062500125,0.794815166166528
"5","B3Coast",13.9548329307826,3.65312079216077,20.5322705313043,7.28360146312086,20.3155486547826,3.58169244496962
"6","B3Interior",5.93556249990909,1.32461264833272,7.23145454545455,1.5704775957612,7.40814285725,1.13967963162129
"7","B4Coast",11.4273641301304,1.05442999963124,12.332,1.52059273729927,11.8761925478261,0.826834508586104
"8","B4Interior",6.25580681818182,1.12996813369363,7.48718181818182,1.28186176494019,7.6669285714375,0.839380753219941
"9","B5Coast",13.8680471013043,1.62493787962456,15.2880434782609,3.57695528828463,16.0780496886957,2.9246046975172
"10","B5Interior",6.87552651536364,2.01998031992384,13.2175,5.89938549463295,13.9235624999375,3.23934226071752
"11","B6Interior",6.28324053027273,1.19495527360987,8.48990909090909,1.8082342323275,8.6711607140625,1.21449269110979
"12","C1Coast",11.7201485501304,1.62601959186883,13.7291739130435,2.20189520954881,13.2735652173913,0.977387386453644
"13","C1Interior",13.0900776507727,2.52002142522886,21.1995,3.73261312462131,21.834794643125,1.93352350479073
"14","C2Interior",9.24271022659091,1.70713912332953,12.1990454545455,2.12661749033917,12.406732144375,1.14677899926787
"15","C3Coast",13.4899166656522,1.72204670567566,17.253,3.97371347962857,17.9394596282609,2.35320693683815
"16","C3Interior",7.08187121209091,1.20920002244833,9.52636363636364,1.83000006623613,9.6160624998125,1.02537575791586
"17","C4Coast",13.1271195647826,1.64451361229895,18.4830434782609,5.5452244685959,18.5076956521739,3.04965540301178
"18","R1Coast",11.463347826087,1.25754087510711,12.6019565217391,4.30674756503476,13.7416211178261,3.66285383754075
"19","R1Interior",7.95726325754545,1.30358776654304,9.50045454545455,2.75868800298901,9.2292232143125,0.840414753389394
"20","R2Coast",12.4683097826087,0.615497573624864,12.9871739130435,0.690084095809009,12.8021739134783,0.500920171207318
"21","R2Interior",6.80861553031818,1.28609752360974,7.90468181818182,1.4459282530565,8.0935357141875,0.948823700699008
