Day,DayT_Mean,DayT_Max,Tmax_7daymean,Site,Type,Region
6/22/2018,13.32458333,14.23,17.49985714,6Coast,Clearcut,Coast
6/23/2018,13.051125,14.134,17.145,6Coast,Clearcut,Coast
6/24/2018,14.45645833,19.282,17.33528571,6Coast,Clearcut,Coast
6/25/2018,13.27179167,15.282,16.791,6Coast,Clearcut,Coast
6/26/2018,12.7875,15.091,16.11071429,6Coast,Clearcut,Coast
6/27/2018,13.00754167,15.855,15.662,6Coast,Clearcut,Coast
6/28/2018,12.02504167,12.497,15.19585714,6Coast,Clearcut,Coast
6/29/2018,11.89554167,12.69,14.97585714,6Coast,Clearcut,Coast
6/30/2018,11.76645833,12.11,14.68671429,6Coast,Clearcut,Coast
7/1/2018,12.04454167,13.173,13.814,6Coast,Clearcut,Coast
7/2/2018,12.304125,15.187,13.80042857,6Coast,Clearcut,Coast
7/3/2018,11.97491667,15.378,13.84142857,6Coast,Clearcut,Coast
7/4/2018,13.56516667,17.189,14.032,6Coast,Clearcut,Coast
7/5/2018,15.89991667,20.138,15.12357143,6Coast,Clearcut,Coast
7/6/2018,15.427875,18.045,15.88857143,6Coast,Clearcut,Coast
7/7/2018,13.47304167,14.325,16.205,6Coast,Clearcut,Coast
7/8/2018,13.33720833,15.282,16.50628571,6Coast,Clearcut,Coast
7/9/2018,13.33566667,14.517,16.41057143,6Coast,Clearcut,Coast
7/10/2018,12.822875,13.173,16.09557143,6Coast,Clearcut,Coast
7/11/2018,14.02820833,16.523,16.00042857,6Coast,Clearcut,Coast
7/12/2018,14.806125,17.95,15.68785714,6Coast,Clearcut,Coast
7/13/2018,15.26129167,18.711,15.783,6Coast,Clearcut,Coast
7/14/2018,15.32366667,19.092,16.464,6Coast,Clearcut,Coast
7/15/2018,15.57433333,19.662,17.08971429,6Coast,Clearcut,Coast
7/16/2018,15.68916667,19.853,17.852,6Coast,Clearcut,Coast
7/17/2018,16.01291667,20.043,18.83342857,6Coast,Clearcut,Coast
6/22/2018,12.18266667,12.594,15.56442857,14Coast,Buffer,Coast
6/23/2018,11.709875,12.207,15.23442857,14Coast,Buffer,Coast
6/24/2018,13.282,16.713,15.38428571,14Coast,Buffer,Coast
6/25/2018,12.59283333,14.134,14.93428571,14Coast,Buffer,Coast
6/26/2018,11.55991667,12.11,14.12714286,14Coast,Buffer,Coast
6/27/2018,12.04495833,14.23,13.718,14Coast,Buffer,Coast
6/28/2018,11.170875,11.916,13.41485714,14Coast,Buffer,Coast
6/29/2018,10.972,11.334,13.23485714,14Coast,Buffer,Coast
6/30/2018,11.06970833,11.236,13.09614286,14Coast,Buffer,Coast
7/1/2018,10.97595833,11.528,12.35542857,14Coast,Buffer,Coast
7/2/2018,10.70316667,11.431,11.96928571,14Coast,Buffer,Coast
7/3/2018,10.98429167,12.497,12.02457143,14Coast,Buffer,Coast
7/4/2018,12.28920833,14.804,12.10657143,14Coast,Buffer,Coast
7/5/2018,13.92125,17.094,12.84628571,14Coast,Buffer,Coast
7/6/2018,13.98466667,15.664,13.46485714,14Coast,Buffer,Coast
7/7/2018,12.56533333,13.365,13.769,14Coast,Buffer,Coast
7/8/2018,12.62570833,14.517,14.196,14Coast,Buffer,Coast
7/9/2018,12.77708333,14.038,14.56842857,14Coast,Buffer,Coast
7/10/2018,12.19470833,12.69,14.596,14Coast,Buffer,Coast
7/11/2018,13.359625,16.141,14.787,14Coast,Buffer,Coast
7/12/2018,14.07329167,16.808,14.74614286,14Coast,Buffer,Coast
