Day,DayT_Mean,DayT_Max,Tmax_7daymean,Site,Type
6/12/2019,8.085916667,14.709,10.66042857,B5Interior,Buffer
6/13/2019,9.606375,22.046,11.57214286,B5Interior,Buffer
6/14/2019,9.092083333,20.615,12.52542857,B5Interior,Buffer
6/15/2019,8.966916667,14.9,13.67157143,B5Interior,Buffer
6/16/2019,9.0845,20.996,15.83385714,B5Interior,Buffer
6/17/2019,9.655041667,21.187,18.05271429,B5Interior,Buffer
6/18/2019,10.16179167,24.158,19.80157143,B5Interior,Buffer
6/19/2019,5.612,10.259,19.16585714,B5Interior,Buffer
6/20/2019,4.871875,6.166,16.89728571,B5Interior,Buffer
6/21/2019,5.684416667,6.877,14.93471429,B5Interior,Buffer
6/22/2019,6.485375,9.669,14.18742857,B5Interior,Buffer
6/23/2019,6.795541667,12.11,12.918,B5Interior,Buffer
6/24/2019,5.943,7.079,10.90257143,B5Interior,Buffer
6/3/2019,7.259916667,9.472,NA,B6Interior,Buffer
6/4/2019,5.94175,8.879,NA,B6Interior,Buffer
6/5/2019,5.483916667,7.381,NA,B6Interior,Buffer
6/6/2019,5.436833333,7.582,NA,B6Interior,Buffer
6/7/2019,4.202833333,6.064,NA,B6Interior,Buffer
6/8/2019,4.319291667,6.268,NA,B6Interior,Buffer
6/9/2019,4.590875,6.877,7.503285714,B6Interior,Buffer
6/10/2019,4.926083333,5.962,7.001857143,B6Interior,Buffer
6/11/2019,6.137333333,8.481,6.945,B6Interior,Buffer
6/12/2019,6.974916667,9.275,7.215571429,B6Interior,Buffer
6/13/2019,7.846583333,11.625,7.793142857,B6Interior,Buffer
6/14/2019,7.674625,10.846,8.476285714,B6Interior,Buffer
6/15/2019,7.355458333,10.259,9.046428571,B6Interior,Buffer
6/16/2019,7.548041667,11.041,9.641285714,B6Interior,Buffer
6/17/2019,7.972833333,10.455,10.28314286,B6Interior,Buffer
6/18/2019,8.003041667,11.139,10.66285714,B6Interior,Buffer
6/19/2019,6.007583333,7.28,10.37785714,B6Interior,Buffer
6/20/2019,5.324458333,6.166,9.598,B6Interior,Buffer
6/21/2019,5.959208333,7.079,9.059857143,B6Interior,Buffer
6/22/2019,6.497,7.983,8.734714286,B6Interior,Buffer
6/23/2019,6.559541667,8.382,8.354857143,B6Interior,Buffer
6/24/2019,6.209166667,8.282,8.044428571,B6Interior,Buffer
6/3/2019,16.704,21.855,NA,C1Interior,Clearcut
6/4/2019,12.653875,21.378,NA,C1Interior,Clearcut
6/5/2019,10.577125,16.141,NA,C1Interior,Clearcut
6/6/2019,11.44725,20.519,NA,C1Interior,Clearcut
6/7/2019,9.695916667,19.472,NA,C1Interior,Clearcut
6/8/2019,11.05304167,19.662,NA,C1Interior,Clearcut
6/9/2019,11.38770833,20.901,19.98971429,C1Interior,Clearcut
6/10/2019,11.46533333,18.711,19.54057143,C1Interior,Clearcut
6/11/2019,15.18995833,24.835,20.03442857,C1Interior,Clearcut
6/12/2019,16.34975,25.513,21.37328571,C1Interior,Clearcut
6/13/2019,15.95020833,25.708,22.11457143,C1Interior,Clearcut
6/14/2019,15.16583333,24.931,22.89442857,C1Interior,Clearcut
6/15/2019,14.9905,22.238,23.26242857,C1Interior,Clearcut
6/16/2019,15.338625,23.581,23.64528571,C1Interior,Clearcut
6/17/2019,16.563,27.961,24.96671429,C1Interior,Clearcut
6/18/2019,15.02708333,25.416,25.04971429,C1Interior,Clearcut
6/19/2019,9.908791667,17.189,23.86057143,C1Interior,Clearcut
6/20/2019,7.938083333,11.916,21.89028571,C1Interior,Clearcut
6/21/2019,12.12575,19.187,21.06971429,C1Interior,Clearcut
6/22/2019,12.719625,18.14,20.48428571,C1Interior,Clearcut
6/23/2019,13.02579167,21.473,20.18314286,C1Interior,Clearcut
6/24/2019,12.70445833,19.662,18.99757143,C1Interior,Clearcut
6/3/2019,12.00458333,14.134,NA,C2Interior,Clearcut
6/4/2019,9.527083333,13.173,NA,C2Interior,Clearcut
6/5/2019,8.455833333,10.846,NA,C2Interior,Clearcut
6/6/2019,8.061125,11.625,NA,C2Interior,Clearcut
6/7/2019,7.236208333,10.748,NA,C2Interior,Clearcut
6/8/2019,6.791625,10.161,NA,C2Interior,Clearcut
6/9/2019,7.211833333,10.651,11.61971429,C2Interior,Clearcut
6/10/2019,7.343291667,9.275,10.92557143,C2Interior,Clearcut
6/11/2019,8.879333333,12.594,10.84285714,C2Interior,Clearcut
6/12/2019,10.33820833,14.421,11.35357143,C2Interior,Clearcut
6/13/2019,11.51033333,15.378,11.88971429,C2Interior,Clearcut
6/14/2019,11.18091667,14.804,12.46914286,C2Interior,Clearcut
6/15/2019,11.192,14.9,13.14614286,C2Interior,Clearcut
6/16/2019,10.36320833,12.11,13.35457143,C2Interior,Clearcut
6/17/2019,11.036375,14.613,14.11714286,C2Interior,Clearcut
6/18/2019,11.69720833,15.091,14.47385714,C2Interior,Clearcut
6/19/2019,9.338625,10.944,13.97714286,C2Interior,Clearcut
6/20/2019,6.824208333,7.782,12.892,C2Interior,Clearcut
6/21/2019,7.59975,10.748,12.31257143,C2Interior,Clearcut
6/22/2019,9.02475,12.304,11.94171429,C2Interior,Clearcut
6/23/2019,9.240291667,11.916,11.914,C2Interior,Clearcut
6/24/2019,8.482833333,10.161,11.278,C2Interior,Clearcut
6/3/2019,8.303916667,10.846,NA,C3Interior,Clearcut
6/4/2019,6.847458333,10.161,NA,C3Interior,Clearcut
6/5/2019,6.234041667,8.382,NA,C3Interior,Clearcut
6/6/2019,6.225375,9.768,NA,C3Interior,Clearcut
6/7/2019,4.902083333,7.983,NA,C3Interior,Clearcut
6/8/2019,5.156375,7.381,NA,C3Interior,Clearcut
6/9/2019,5.641083333,7.582,8.871857143,C3Interior,Clearcut
6/10/2019,5.911875,6.775,8.290285714,C3Interior,Clearcut
6/11/2019,7.032541667,8.978,8.121285714,C3Interior,Clearcut
6/12/2019,8.0515,10.846,8.473285714,C3Interior,Clearcut
6/13/2019,8.821,12.401,8.849428571,C3Interior,Clearcut
6/14/2019,8.499375,11.916,9.411285714,C3Interior,Clearcut
6/15/2019,7.976416667,10.161,9.808428571,C3Interior,Clearcut
6/16/2019,8.116458333,11.528,10.37214286,C3Interior,Clearcut
6/17/2019,8.678208333,12.207,11.14814286,C3Interior,Clearcut
6/18/2019,8.788166667,11.528,11.51242857,C3Interior,Clearcut
6/19/2019,6.588833333,7.381,11.01742857,C3Interior,Clearcut
6/20/2019,5.709958333,6.471,10.17028571,C3Interior,Clearcut
6/21/2019,6.682125,8.779,9.722142857,C3Interior,Clearcut
6/22/2019,7.364041667,9.571,9.637857143,C3Interior,Clearcut
6/23/2019,7.383958333,10.553,9.498571429,C3Interior,Clearcut
6/24/2019,6.886375,8.382,8.952142857,C3Interior,Clearcut
6/3/2019,8.869,9.768,NA,R1Interior,Reference
6/4/2019,7.63225,9.472,NA,R1Interior,Reference
6/5/2019,7.140541667,7.782,NA,R1Interior,Reference
6/6/2019,6.756583333,7.682,NA,R1Interior,Reference
