Day,DayT_Mean,DayT_Max,Tmax_7daymean,Site,Type
7/24/2018,10.15270833,11.722,11.07928571,15Interior,Buffer
7/25/2018,10.11058333,11.819,10.96857143,15Interior,Buffer
7/26/2018,12.005,16.332,11.61328571,15Interior,Buffer
7/27/2018,12.299,18.236,12.73885714,15Interior,Buffer
7/28/2018,12.512,17.95,13.99228571,15Interior,Buffer
7/29/2018,12.748625,18.14,15.00642857,15Interior,Buffer
7/30/2018,13.97133333,19.567,16.25228571,15Interior,Buffer
7/31/2018,14.25404167,20.615,17.52271429,15Interior,Buffer
8/1/2018,14.33991667,22.717,19.07957143,15Interior,Buffer
8/2/2018,12.906125,21.855,19.86857143,15Interior,Buffer
8/3/2018,11.46516667,14.9,19.392,15Interior,Buffer
8/4/2018,10.74766667,21.664,19.92257143,15Interior,Buffer
8/5/2018,11.62066667,22.333,20.52157143,15Interior,Buffer
8/6/2018,13.18179167,20.615,20.67128571,15Interior,Buffer
8/7/2018,10.259,10.259,19.19185714,15Interior,Buffer
7/6/2018,8.931166667,9.965,NA,20Interior,Buffer
7/7/2018,8.6405,9.866,NA,20Interior,Buffer
7/8/2018,8.3145,10.357,NA,20Interior,Buffer
7/9/2018,8.783875,10.748,NA,20Interior,Buffer
7/10/2018,8.5515,9.077,NA,20Interior,Buffer
7/11/2018,8.580666667,10.161,NA,20Interior,Buffer
7/12/2018,9.390333333,11.819,10.28471429,20Interior,Buffer
7/13/2018,9.879833333,12.401,10.63271429,20Interior,Buffer
7/14/2018,9.63125,11.819,10.91171429,20Interior,Buffer
7/15/2018,9.412291667,12.11,11.16214286,20Interior,Buffer
7/16/2018,9.934291667,12.69,11.43957143,20Interior,Buffer
7/17/2018,10.452875,13.461,12.06585714,20Interior,Buffer
7/18/2018,10.8015,13.75,12.57857143,20Interior,Buffer
7/19/2018,10.21791667,13.173,12.772,20Interior,Buffer
7/20/2018,9.125833333,11.236,12.60557143,20Interior,Buffer
7/21/2018,8.367083333,10.259,12.38271429,20Interior,Buffer
7/22/2018,9.422,12.013,12.36885714,20Interior,Buffer
7/23/2018,9.536875,11.722,12.23057143,20Interior,Buffer
7/24/2018,10.00133333,12.69,12.12042857,20Interior,Buffer
7/25/2018,10.085625,13.076,12.02414286,20Interior,Buffer
7/26/2018,10.54008333,13.365,12.05157143,20Interior,Buffer
